,Ether_dst,Ether_src,IP_id,IP_len,IP_proto,IP_ttl,TCP_dataofs,TCP_dport,TCP_flags,TCP_seq,TCP_sport,TCP_window,load_len
3006,28:f0:76:31:d3:58,e0:55:3d:02:41:21,16850.0,358.0,tcp,53.0,8.0,61502.0,PA,1443267805.0,4070.0,42.0,903.0
3007,e0:55:3d:02:41:21,28:f0:76:31:d3:58,15849.0,67.0,udp,64.0,,,,,,,121.0
3008,18:f6:43:57:fc:8f,e0:55:3d:02:41:21,,,,,,,,,,,
3009,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21212.0,1436.0,tcp,57.0,8.0,57006.0,A,1756652429.0,80.0,338.0,3937.0
3010,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16441.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1647.0,
3011,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16442.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1637.0,
3012,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16443.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1634.0,
3013,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21213.0,1436.0,tcp,57.0,8.0,57006.0,A,1756653813.0,80.0,338.0,3941.0
3014,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,52.0,tcp,64.0,8.0,4070.0,A,651048233.0,61502.0,4086.0,
3015,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16444.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1634.0,
3016,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21214.0,1436.0,tcp,57.0,8.0,57006.0,A,1756655197.0,80.0,338.0,3959.0
3017,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21215.0,1436.0,tcp,57.0,8.0,57006.0,A,1756656581.0,80.0,338.0,3853.0
3018,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21216.0,1436.0,tcp,57.0,8.0,57006.0,A,1756657965.0,80.0,338.0,3987.0
3019,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21217.0,1436.0,tcp,57.0,8.0,57006.0,A,1756659349.0,80.0,338.0,3868.0
3020,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21218.0,1436.0,tcp,57.0,8.0,57006.0,A,1756660733.0,80.0,338.0,4014.0
3021,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21219.0,1436.0,tcp,57.0,8.0,57006.0,A,1756662117.0,80.0,338.0,3959.0
3022,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21220.0,1436.0,tcp,57.0,8.0,57006.0,A,1756663501.0,80.0,338.0,3963.0
3023,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21221.0,1436.0,tcp,57.0,8.0,57006.0,A,1756664885.0,80.0,338.0,3933.0
3024,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21222.0,1436.0,tcp,57.0,8.0,57006.0,A,1756666269.0,80.0,338.0,3911.0
